Place,Coordinates,Time,PIN Code,Region
"5MVW+FJG, Airport City South, Hunachur, Karnataka 560300, India",(13.1937198 - 77.6966219),2024-06-03 08:30:43,560300,Airport Area
"5MVX+GC5, Airport City South, Hunachur, Karnataka 560300, India",(13.1937156 - 77.6986088),2024-06-03 08:34:27,560300,Airport Area
"5MVW+JF6, Airport City South, Hunachur, Karnataka 560300, India",(13.1939478 - 77.6960205),2024-06-03 08:37:27,560300,Airport Area
"5MVX+GC5, Airport City South, Hunachur, Karnataka 560300, India",(13.1937106 - 77.6986219),2024-06-03 08:40:48,560300,Airport Area
"5MVX+GC5, Airport City South, Hunachur, Karnataka 560300, India",(13.1937193 - 77.6986211),2024-06-03 08:45:05,560300,Airport Area
"5MVX+GC5, Airport City South, Hunachur, Karnataka 560300, India",(13.1937097 - 77.6986243),2024-06-03 08:48:33,560300,Airport Area
"KA22 BOYS, Airport City South, Bengaluru, Hunachur, Karnataka 560300, India",(13.1931485 - 77.6974101),2024-06-03 08:52:19,560300,Airport Area
"5MVW+8C5, Airport City South, Hunachur, Karnataka 560300, India",(13.1932867 - 77.696065),2024-06-03 08:56:52,560300,Airport Area
"Unnamed Road, Kadayarapanahalli, Dummanur, Karnataka, India",(13.1901511 - 77.7053231),2024-06-03 09:02:02,,Begur
"boy Mahesh KA 0190, KA 20, Airport City South, Bengaluru, Hunachur, Karnataka 560079, India",(13.1939652 - 77.6963783),2024-06-03 09:07:21,560079,Bannerghatta Road
"01, Airport City South, Chikkanahalli, Bengaluru, Hunachur, Karnataka 562157, India",(13.1940172 - 77.6974517),2024-06-03 09:12:19,562157,Airport Area
"5MVW+8C5, Airport City South, Hunachur, Karnataka 560300, India",(13.19324 - 77.6961833),2024-06-03 09:16:01,560300,Airport Area
"5MVW+F93, Airport City South, Hunachur, Karnataka 560300, India",(13.1936667 - 77.6960583),2024-06-03 09:20:34,560300,Airport Area
"Unnamed Road, Airport City South, Karnataka 560300, India",(13.1938783 - 77.6961367),2024-06-03 09:25:02,560300,Airport Area
"Unnamed Road, Airport City South, Karnataka 560300, India",(13.193755 - 77.6961283),2024-06-03 09:29:49,560300,Airport Area
"Unnamed Road, Airport City South, Karnataka 560300, India",(13.1938167 - 77.6960883),2024-06-03 09:34:15,560300,Airport Area
"5MVW+F93, Airport City South, Hunachur, Karnataka 560300, India",(13.1937133 - 77.6960533),2024-06-03 09:39:13,560300,Airport Area
"5MVX+97X, Airport City South, Hunachur, Karnataka 560300, India",(13.1934975 - 77.6983814),2024-06-03 09:41:55,560300,Airport Area
"5PV2+H5J BIAL Sewage Treatment Plant, Airport City South, Bengaluru International Airport, Anneshwara, Hunachur, Karnataka 560300, India",(13.1942133 - 77.700105),2024-06-03 09:44:38,560300,Airport Area
"Begur Dr, Airport City South, Karnataka 560300, India",(13.1939702 - 77.6810856),2024-06-03 09:47:20,560300,Airport Area
"Begur, Chikkanahalli, Bandikodegehalli Amanikere, Begur, Karnataka, India",(13.1836596 - 77.6813797),2024-06-03 09:50:03,,Begur
"5MMW+54G, Mylanahalli, Hunachur, Karnataka 562149, India",(13.1832485 - 77.6954638),2024-06-03 09:53:40,562149,Airport Area
"5MGR+8HM, Bande Kodigehalli, Bandi Kodigehalli Palya, Karnataka 562149, India",(13.176242 - 77.6925135),2024-06-03 09:56:22,562149,Airport Area
"5M6M+9W7, Huvinayakanahalli, Bengaluru, Karnataka 562149, India",(13.1608384 - 77.6845257),2024-06-03 09:59:05,562149,Airport Area
"4MVF+F34, SH 104, Bagalur Colony, Gummanahalli, Bengaluru, Karnataka 562149, India",(13.1436319 - 77.6729787),2024-06-03 10:02:41,562149,Airport Area
"Bagalur Santhe, Dasanayakanahalli, Bengaluru, Bagaluru, Karnataka 562149, India",(13.1334868 - 77.6668589),2024-06-03 10:05:24,562149,Airport Area
"Bagaluru main Road, Chagalahatti, Mitganahalli, Bengaluru, Chagalahatti, Karnataka 562149, India",(13.1212738 - 77.6684058),2024-06-03 10:08:07,562149,Airport Area
"Tavakkal Hospital, Mitganahalli, Kadusonnapanahalli, Bengaluru, Karnataka 562149, India",(13.1059033 - 77.663715),2024-06-03 10:10:50,562149,Airport Area
"Tavakkal Hospital, Mitganahalli, Kadusonnapanahalli, Bengaluru, Karnataka 562149, India",(13.1059033 - 77.663715),2024-06-03 10:13:32,562149,Airport Area
"Shop No.3,Sy.No.48/5&48/7, Hennur-Bagalur Main Road, Kadusonnapanahalli, Mitganahalli, Kadusonnapanahalli, Bengaluru, Karnataka 562149, India",(13.1059283 - 77.663625),2024-06-03 10:16:15,562149,Airport Area
